NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-12;Dona;Entre 65 i 74;Si;1;59;9;1;0;7;0;0
CATALUNYA;CATALUNYA;2020-11-12;Dona;Majors de 74;No;115;838;364;29;1;393;19;21
CATALUNYA;CATALUNYA;2020-11-12;Dona;Majors de 74;Si;71;867;55;7;0;66;0;10
CATALUNYA;CATALUNYA;2020-11-12;Dona;Menors de 15;No;187;2465;846;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-12;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-12;Home;Entre 15 i 64;No;663;5173;2744;41;15;616;177;2
CATALUNYA;CATALUNYA;2020-11-12;Home;Entre 15 i 64;Si;18;161;24;1;0;17;1;1
CATALUNYA;CATALUNYA;2020-11-12;Home;Entre 65 i 74;No;66;558;214;16;6;342;107;5
CATALUNYA;CATALUNYA;2020-11-12;Home;Entre 65 i 74;Si;3;51;4;2;0;13;1;2
CATALUNYA;CATALUNYA;2020-11-12;Home;Majors de 74;No;77;697;223;28;4;490;65;12
CATALUNYA;CATALUNYA;2020-11-12;Home;Majors de 74;Si;16;245;18;7;0;50;0;5
CATALUNYA;CATALUNYA;2020-11-12;Home;Menors de 15;No;192;2752;1013;0;1;5;0;0
CATALUNYA;CATALUNYA;2020-11-12;Home;Menors de 15;Si;0;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-11;Altres;N/A;--;64;568;22;3;1;108;22;0
CATALUNYA;CATALUNYA;2020-11-11;Dona;Entre 15 i 64;No;875;10374;3934;48;11;331;67;0
CATALUNYA;CATALUNYA;2020-11-11;Dona;Entre 15 i 64;Si;30;116;26;1;0;6;1;0
CATALUNYA;CATALUNYA;2020-11-11;Dona;Entre 65 i 74;No;80;703;339;19;3;192;44;1
CATALUNYA;CATALUNYA;2020-11-11;Dona;Entre 65 i 74;Si;17;91;5;1;0;6;0;0
CATALUNYA;CATALUNYA;2020-11-11;Dona;Majors de 74;No;118;915;319;33;3;396;20;16
CATALUNYA;CATALUNYA;2020-11-11;Dona;Majors de 74;Si;39;1005;64;6;0;73;0;19
CATALUNYA;CATALUNYA;2020-11-11;Dona;Menors de 15;No;202;3053;923;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-11;Dona;Menors de 15;Si;0;1;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-11;Home;Entre 15 i 64;No;844;6074;2997;59;11;632;167;2
CATALUNYA;CATALUNYA;2020-11-11;Home;Entre 15 i 64;Si;21;151;32;2;0;14;2;1
CATALUNYA;CATALUNYA;2020-11-11;Home;Entre 65 i 74;No;86;693;216;12;8;352;107;2
CATALUNYA;CATALUNYA;2020-11-11;Home;Entre 65 i 74;Si;2;81;4;2;0;13;1;1
CATALUNYA;CATALUNYA;2020-11-11;Home;Majors de 74;No;60;784;204;41;10;502;68;19
